host,label,status,elapsed_s,multi_transit_depth_chi2red,n_transits_used,power_ratio_half_period,power_ratio_double_period
EPIC_211945201,1,Success,28.332351207733154,1.5284600495298777,13,,-0.1956676089095687
EPIC_206042996,1,Success,55.98568415641785,0.5262868460053384,14,0.45480047336573526,0.4164709471409724
EPIC_212424622,1,Success,30.970427989959717,1.042864112600369,5,0.09364097686330548,-0.2355885166719976
Barnard's_star,1,Success,619.0265762805939,0.7599500325594171,132,,0.6388112920188881
EPIC_211822797,1,Success,82.65913915634155,3.9184627312198037,53,,0.4447629247693537
DMPP-2,1,Success,321.74510407447815,0.3603894846769835,11,-0.12000803328486971,-0.09346862763705269
EPIC_212499991,1,Success,55.56596398353577,,1,0.052971971110754815,
EPIC_212624936,1,Success,39.70017981529236,1.4007048529711645,19,,-0.1727915917748408
EPIC_212737443,1,Success,46.07077598571777,4.438608505165315,4,0.8658738315133169,
EPIC_220492298,1,Success,47.87209510803223,1.3559871568315498,21,,-0.024691161655414535
EPIC_229004835,1,Success,35.566176891326904,0.7473302322669846,37,,0.32424244446384143
