host,label,status,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,elapsed_s
2MASS_J19383260+4603591,1,Success,0.0031460210141079,0.002196879661991,0.053490705985421,,52.2361934579676
2MASS_J21252752-8138278,1,Success,5.611007397465721e-05,0.0032717028201065,0.0024325116400032,,28.27506454201648
2MASS_J22362452+4751425,1,Success,2.69546167863915e-05,0.0005299575445426,-4.161382477851916e-05,-0.3224190247912971,232.32121879199985
2MASS_J22501512+2325342,1,Success,4.7463425575900607e-05,0.0039260806037002,0.0076804374117908,1.1544190533517005,50.07731879199855
47_UMa,1,Success,2.813627846872644e-08,2.2979179063095404e-05,-2.53064939448322e-07,,148.82004700001562
4_UMa,1,Success,2.3924999142213285e-08,0.0001519457839245,-6.463364174535968e-06,0.0317051122506826,46.22481941600563
51_Eri,1,Success,2.1879793541503178e-06,0.0007725024617865,0.0014828848930648,,43.32500304200221
51_Peg,1,Success,5.2978522808375966e-08,8.280128155278436e-06,2.6167324873593856e-07,,156.03670766600408
55_Cnc,1,Success,3.194063388282412e-08,3.374953315077164e-05,0.0002252131674678,2.004932055137776,41.29935237497557
55_Cnc_B,1,Success,3.194063388282412e-08,3.374953315077164e-05,0.0002252131674678,2.004932055137776,40.86887870897772
61_Vir,1,Success,1.0553500439093928e-08,2.7582940761957245e-05,2.4754435647977857e-06,-0.2110499795514078,24.181611832987983
6_Lyn,1,Success,3.6984050338408514e-08,9.698284409684196e-05,-4.994108360634186e-06,-0.1709263554385848,51.71489949995885
70_Vir,1,Success,1.3613038175496017e-08,2.9876466013914025e-05,2.1181845586082385e-05,,24.34340108296601
75_Cet,1,Success,4.7992933547704785e-08,0.000166554314176,0.0001194573109902,1.1360273513899493,37.61146829201607
7_CMa,1,Success,2.9942124003755656e-08,0.0001600117222054,7.267836515156834e-05,1.4635741755815386,30.61756508302642
8_UMi,1,Success,1.1394552559216953e-07,0.000263389096021,0.00017697863095,1.7750405307738109,64.68582291598432
91_Aqr,1,Success,1.0406479372537549e-07,5.31387740898559e-06,-0.0001841782469775,,31.326855541963596
AB_Aur,1,Success,9.470865320910688e-07,0.0012525320201261,3.2772093063626606e-05,,46.28662958397763
AB_Pic,1,Success,1.060453403761326e-06,0.0025038985329836,9.818889866042292e-05,,53.30837437498849
AF_Lep,1,Success,2.2356459627626243e-06,0.0063687289802085,0.0002746130090256,0.7346250724144736,59.392811957979575
AT2021ueyL,1,Success,0.0045480177692252,0.0012823983809043,1.1938215360274285e-05,,204.71209024998825
AU_Mic,1,Success,2.1549414149407457e-06,0.0032831422747557,-8.284667781088828e-05,,55.377794125000946
BD+03_2562,1,Success,8.347546130650636e-07,0.0004163226853164,8.665984030375995e-06,-0.3666789377716082,227.88312579196645
BD+05_4868_A,1,Success,1.1049760531647584e-06,0.0006337149698742,0.0035636597935071,,14.459337542008145
BD+14_4559,1,Success,2.618060369084995e-07,0.0001181747709408,-1.4815402567869285e-05,0.1090037914526983,50.94757900002878
BD+15_2375,1,Success,6.8550275258322e-07,0.0002105021443717,0.0002356365471115,,46.96344579203287
BD+15_2940,1,Success,2.528637749525809e-07,0.0002460265394378,2.58623726312468e-05,,20.88719283300452
BD+20_2457,1,Success,2.9818050173147585e-07,0.0010593128528823,3.095625408688907e-05,,40.057968292036094
BD+20_274,1,Success,2.085374579901184e-07,0.0001955856884142,1.2897223614416475e-05,0.3365296915535687,34.05289866699604
BD+20_594,1,Success,1.6962546921692077e-06,0.0005362478284294,-4.3845509750006784e-05,-14.74975195446866,36.335151667008176
BD+37_3172,1,Success,7.95865434542869e-07,7.701350845454065e-05,1.2547574313126477e-05,,170.50426970800618
BD+42_2315,1,Success,3.394943055323621e-07,0.0001478221495799,-0.0001021862981147,,23.620667499955744
BD+45_564,1,Success,3.133290419264785e-07,0.0001938571926363,9.7891951751361e-06,-25.998246980444783,34.11179041699506
BD+48_738,1,Success,1.033947978832423e-07,0.0001426409448285,0.0001155476323986,0.380852172651716,37.01000587496674
BD+49_828,1,Success,1.7457615643989557e-07,0.0001495695959146,0.0001275774314688,0.1127693728703828,31.940598665969446
BD+55_362,1,Success,5.8941371679234675e-08,9.724723380715384e-05,0.0001104759632838,,2.7855850839987397
BD+60_1417,1,Success,4.036365798225297e-07,0.0002194201274679,9.49642861680644e-06,-0.5496150486244558,52.24354241701076
BD+63_1405,1,Success,1.7097469637785286e-07,0.000182225199185,1.5316377603102893e-05,,50.45807054202305
